PLOTNO,DryWt.g,DryWt.g.m2,YEAR,log10RootBiomass
1,0.2502,438.9120137,2020,2.642377468
2,0.2071,363.3040689,2020,2.560270262
3,0.1013,177.704984,2020,2.249699608
4,0.4175,732.3971451,2020,2.864746643
5,0.3208,562.7616866,2020,2.750324523
6,0.1677,294.1868293,2020,2.468623226
7,0.1748,306.6419664,2020,2.486631591
8,1.3974,2451.381487,2020,3.389410902
9,0.1849,324.3598375,2020,2.511027074
10,0.315,552.5870676,2020,2.742400717
11,0.1682,295.0639516,2020,2.469916154
12,0.079,138.5853281,2020,2.141717254
13,0.0765,134.1997164,2020,2.127751598
14,0.2235,392.0736813,2020,2.59336769
15,0.3513,616.2661487,2020,2.789768313
16,1.9376,3399.024451,2020,3.531354289
17,0.6771,1187.799059,2020,3.074742977
18,0.0505,88.58935528,2020,1.947381541
19,0.1253,219.8068558,2020,2.342041234
20,0.269,471.8918133,2020,2.673842443
21,0.2099,368.2159539,2020,2.566102602
22,0.3778,662.7536322,2020,2.821352117
23,0.0602,105.6055285,2020,2.023686654
24,0.3283,575.9185216,2020,2.760361046
25,0.4245,744.6768578,2020,2.871967858
26,0.0658,115.4292986,2020,2.062316057
27,0.0885,155.2506523,2020,2.191033434
28,0.0559,98.06227644,2020,1.991501971
29,0.1224,214.7195463,2020,2.331871581
30,0.0249,43.68069201,2020,1.64028951
31,0.2325,407.8618832,2020,2.61051312
32,0.3491,612.4068105,2020,2.787040012
33,0.2414,423.4746607,2020,2.626827429
34,0.0519,91.0452978,2020,1.959257521
35,0.1915,335.9378522,2020,2.526258941
36,0.829,1454.268822,2020,3.162644693
37,0.1955,342.9548308,2020,2.535236925
38,0.0951,166.8286671,2020,2.22227068
39,0.103,180.6871999,2020,2.256927388
40,0.0531,93.15039139,2020,1.969184684
41,0.161,282.4333901,2020,2.450916039
42,0.0261,45.7857856,2020,1.66073067
43,0.1871,328.2191757,2020,2.51616395
44,0.2835,497.3283608,2020,2.696643226
45,0.4084,716.4335187,2020,2.855175896
46,0.333,584.1634715,2020,2.766534396
47,0.0702,123.1479751,2020,2.090427275
48,0.1715,300.852959,2020,2.478354287
49,0.2512,440.6662583,2020,2.644109798
50,0.0965,169.2846096,2020,2.228617476
51,0.0284,49.82054832,2020,1.697408503
52,0.0235,41.22474949,2020,1.615158025
53,0.1102,193.3177614,2020,2.286271757
54,0.084,147.3565514,2020,2.168369449
55,0.0782,137.1819323,2020,2.137296916
56,0.038,66.66129704,2020,1.82387376
57,0.192,336.8149745,2020,2.527391392
58,0.1723,302.2563547,2020,2.48037544
59,0.113,198.2296465,2020,2.297168606
60,0.6393,1121.488611,2020,3.049794867
61,0.165,289.4503687,2020,2.461574107
62,0.0995,174.5473436,2020,2.241913244
63,0.0535,93.85208926,2020,1.972443945
64,0.0473,82.97577237,2020,1.918951304
65,0.286,501.7139725,2020,2.700456196
66,0.154,270.1536775,2020,2.431610884
67,0.372,652.5790132,2020,2.814633103
68,0.5472,959.9226774,2020,2.982236252
69,0.4602,807.3033921,2020,2.907036777
70,0.3378,592.5838458,2020,2.772749808
71,0.0593,104.0267083,2020,2.017144856
72,0.183,321.0267726,2020,2.506541253
73,0.8702,1526.543702,2020,3.183709242
74,0.0412,72.27487995,2020,1.858987379
75,0.0112,19.64754018,2020,1.293308186
76,0.0571,100.16737,2020,2.000726271
77,0.5882,1031.846708,2020,3.013615183
78,0.8371,1468.478204,2020,3.166867505
79,0.0912,159.9871129,2020,2.204085001
80,0.077,135.0768387,2020,2.130580888
81,0.162,284.1876348,2020,2.453605177
82,0.0855,149.9879183,2020,2.176056278
83,0.0577,101.2199168,2020,2.005265976
84,0.0036,6.315280772,2020,0.800392664
85,0.4536,795.7253773,2020,2.900763209
86,0.157,275.4164115,2020,2.439989815
87,0.2637,462.5943166,2020,2.665200293
88,0.3595,630.6509549,2020,2.799789058
89,0.0813,142.6200908,2020,2.154180709
90,0.1042,182.7922935,2020,2.261957882
91,0.1924,337.5166724,2020,2.528295231
92,0.0808,141.7429684,2020,2.151501524
93,0.3648,639.9484516,2020,2.806144993
94,0.4551,798.3567443,2020,2.902196998
95,0.3212,563.4633845,2020,2.7508657
96,0.0969,169.9863075,2020,2.23041394
97,0.092,161.3905086,2020,2.20787799
98,0.1094,191.9143657,2020,2.283107485
99,0.3958,694.330036,2020,2.841565953
100,0.0976,171.2142787,2020,2.233539981
101,0.1617,283.6613614,2020,2.452800183
102,0.1062,186.3007828,2020,2.27021468
103,0.0406,71.22233316,2020,1.852616197
104,0.0379,66.48587258,2020,1.822729373
105,0.1873,328.5700246,2020,2.51662794
106,0.0406,71.22233316,2020,1.852616197
107,0.0815,142.9709397,2020,2.155247772
108,0.0628,110.1665646,2020,2.042049807
109,0.0069,12.10428815,2020,1.082939254
110,0.0375,65.78417471,2020,1.818121431
111,0.0308,54.0307355,2020,1.732640879
112,0.0312,54.73243336,2020,1.738244757
113,0.0806,141.3921195,2020,2.150425205
114,0.2172,381.0219399,2020,2.580949984
115,0.0313,54.90785783,2020,1.7396345
116,0.0481,84.3791681,2020,1.926235239
117,0.0824,144.5497599,2020,2.160017375
118,0.0509,89.29105314,2020,1.950807945
119,0.1032,181.0380488,2020,2.25776986
120,0.1148,201.3872869,2020,2.304032051
121,0.0476,83.50204577,2020,1.921697116
122,0.0322,56.48667802,2020,1.751946035
123,0.1952,342.4285574,2020,2.534569976
124,0.0272,47.71545473,2020,1.678659067
125,0.0223,39.1196559,2020,1.592395026
126,0.0208,36.48828891,2020,1.562153498
127,0.102,178.9329552,2020,2.252690335
128,0.0801,140.5149972,2020,2.147722679
129,0.0254,44.55781434,2020,1.64892388
130,0.0315,55.25870676,2020,1.742400717
131,0.22,385.933825,2020,2.586512844
132,0.0278,48.76800152,2020,1.688134959
133,0.0382,67.01214597,2020,1.826153526
134,0.0328,57.53922482,2020,1.759964007
135,0.0338,59.29346947,2020,1.773006863
136,0.1321,231.7357195,2020,2.364992981
137,0.0639,112.0962337,2020,2.049591021
138,0.0186,32.62895066,2020,1.513603107
139,0.0517,90.69444887,2020,1.957580706
140,0.032,56.13582909,2020,1.749240141
141,0.062,108.7631689,2020,2.036481852
142,0.0553,97.00972964,2020,1.986815294
143,0.1301,228.2272301,2020,2.35836746
144,0.1149,201.5627113,2020,2.304410192
145,0.0851,149.2862205,2020,2.174019723
146,0.0386,67.71384384,2020,1.830677468
147,0.3438,603.1093138,2020,2.780396035
148,0.0711,124.7267953,2020,2.095959764
149,0.0593,104.0267083,2020,2.017144856
150,0.1463,256.6459936,2020,2.409334489
151,0.2567,450.314604,2020,2.653516032
152,0.1345,235.9459066,2020,2.372812447
153,0.0697,122.2708527,2020,2.087322941
154,0.0348,61.04771413,2020,1.785669407
155,0.3924,688.3656042,2020,2.837819162
156,0.2468,432.9475818,2020,2.636435318
157,0.1129,198.054222,2020,2.296784105
158,0.0534,93.67666479,2020,1.97163142
159,0.4943,867.123135,2020,2.938080773
160,0.1236,216.8246399,2020,2.336108634
161,0.0268,47.01375686,2020,1.672224957
162,0.0582,102.0970392,2020,2.009013148
163,0.0717,125.7793421,2020,2.099609319
164,0.0533,93.50124033,2020,1.970817372
165,0.0802,140.6904217,2020,2.148264531
166,0.1746,306.2911175,2020,2.486134402
167,0.0857,150.3387673,2020,2.177070985
168,0.1561,273.8375913,2020,2.437493066
169,0.0241,42.27729628,2020,1.626107206
170,0.0249,43.68069201,2020,1.64028951
171,0.1466,257.172267,2020,2.410224133
172,0.0774,135.7785366,2020,2.132831124
173,0.0868,152.2684364,2020,2.182609888
174,0.0637,111.7453848,2020,2.048229595
175,0.0468,82.09865004,2020,1.914336016
176,0.6489,1138.329359,2020,3.056267937
177,0.1402,245.9451012,2020,2.390838177
178,0.2568,450.4900284,2020,2.653685182
179,0.121,212.2636037,2020,2.326875533
180,0.087,152.6192853,2020,2.183609416
181,0.041,71.92403102,2020,1.85687402
182,0.05,87.71223295,2020,1.943060167
183,0.1501,263.3121233,2020,2.420470855
184,0.1318,231.2094461,2020,2.364005573
185,0.2377,416.9839554,2020,2.620119345
186,0.1062,186.3007828,2020,2.27021468
187,0.0696,122.0954283,2020,2.086699403
188,0.1118,196.1245529,2020,2.292531966
189,0.0951,166.8286671,2020,2.22227068
190,0.2458,431.1933372,2020,2.634672041
191,0.3185,558.7269239,2020,2.7471996
192,0.414,726.2572888,2020,2.861090504
193,0.1746,306.2911175,2020,2.486134402
194,0.0419,73.50285121,2020,1.866304186
195,0.0732,128.410709,2020,2.108601244
196,0.1372,240.6823672,2020,2.381444274
197,0.0539,94.55378712,2020,1.975678928
198,0.3978,697.8385254,2020,2.843754942
199,0.1403,246.1205257,2020,2.391147834
200,0.0965,169.2846096,2020,2.228617476
201,0.0583,102.2724636,2020,2.009758718
202,0.0798,139.9887238,2020,2.146093054
203,0.0654,114.7276007,2020,2.059667911
204,0.0658,115.4292986,2020,2.062316057
205,0.109,191.2126678,2020,2.281516661
206,0.2251,394.8804727,2020,2.596465658
207,0.1849,324.3598375,2020,2.511027074
208,0.1874,328.7454491,2020,2.516859749
209,0.0681,119.4640613,2020,2.077237275
210,0.0606,106.3072263,2020,2.026562787
211,0.0695,121.9200038,2020,2.086074968
212,0.2709,475.2248781,2020,2.676899168
213,0.2347,411.7212215,2020,2.614603253
214,0.103,180.6871999,2020,2.256927388
215,0.107,187.7041785,2020,2.273473941
216,0.1584,277.872354,2020,2.44384534
217,0.0825,144.7251844,2020,2.160544111
218,0.2855,500.8368501,2020,2.699696276
219,0.0923,161.916782,2020,2.209291864
220,0.0699,122.6217017,2020,2.088567339
221,0.2303,404.002545,2020,2.606384101
222,0.8748,1534.613228,2020,3.185998937
223,0.085,149.110796,2020,2.173509089
224,0.3128,548.7277293,2020,2.739356907
225,0.4086,716.7843677,2020,2.855388525
226,0.4193,735.5547855,2020,2.866615025
227,0.4209,738.361577,2020,2.868269089
228,0.0847,148.5845226,2020,2.171973573
229,0.9186,1611.449144,2020,3.207216604
230,0.0926,162.4430554,2020,2.21070115
231,0.2011,352.7786009,2020,2.547502234
232,0.1588,278.5740519,2020,2.444940661
233,0.1561,273.8375913,2020,2.437493066
234,0.3145,551.7099453,2020,2.741710813
235,0.0991,173.8456457,2020,2.240163817
236,0.1844,323.4827151,2020,2.50985108
237,0.4854,851.5103575,2020,2.930189935
238,0.7058,1238.14588,2020,3.092771817
239,0.4553,798.7075932,2020,2.902387813
240,0.0454,79.64270752,2020,1.901146016
1,1.3737,1355.515812,2022,3.132104588
2,0.2421,238.8952305,2022,2.378207479
3,0.0656,64.73162792,2022,1.811116529
4,1.6005,1579.313574,2022,3.198468368
5,1.8981,1872.97413,2022,3.272531779
6,0.3453,340.7291329,2022,2.532409268
7,0.1113,109.8266797,2022,2.040707854
8,0.6064,598.3728532,2022,2.776971882
9,0.9006,888.6784162,2022,2.948744632
10,0.1776,175.2490414,2022,2.243655651
11,0.286,282.2141095,2022,2.450578723
12,0.1755,173.1768399,2022,2.238489811
13,0.4196,414.0455956,2022,2.617048169
14,0.3767,371.7134792,2022,2.57020831
15,0.6818,672.7747548,2022,2.827869687
16,0.7609,750.8276781,2022,2.875540274
17,0.4069,401.5137104,2022,2.60370038
18,0.211,208.206913,2022,2.318495145
19,0.5691,561.5666074,2022,2.749401275
20,0.18,177.6172717,2022,2.249485195
21,3.0013,2961.570653,2022,3.471522098
22,0.633,624.6207389,2022,2.7956164
23,0.4428,436.9384884,2022,2.640420302
24,0.3946,389.3765301,2022,2.590369771
25,1.7086,1685.982614,2022,3.226853092
26,0.3346,330.1707729,2022,2.518738626
27,0.9782,965.2511956,2022,2.984640348
28,0.1345,132.7195725,2022,2.122934974
29,1.2921,1274.995982,2022,3.105508816
30,0.2133,210.476467,2022,2.323203545
31,0.2006,197.9445817,2022,2.296543618
32,0.1455,143.5739613,2022,2.157075683
33,0.1187,117.1287231,2022,2.068663409
34,0.2035,200.8061933,2022,2.302777103
35,1.1173,1102.509876,2022,3.042382488
36,1.1581,1142.769791,2022,3.057958751
37,0.8456,834.4064721,2022,2.921377664
38,0.2067,203.9638337,2022,2.309553166
39,0.4849,478.4811948,2022,2.679864874
40,0.0905,89.30201717,2022,1.950861269
41,0.499,492.3945477,2022,2.692313235
42,0.3867,381.5811054,2022,2.581586862
43,0.3003,296.324815,2022,2.471768022
44,0.3436,339.0516365,2022,2.530265845
45,1.0305,1016.858881,2022,3.007260686
46,0.169,166.7628829,2022,2.222099394
47,0.243,239.7833168,2022,2.379818963
48,0.7677,757.5376639,2022,2.87940423
49,0.53,522.984189,2022,2.718488559
50,0.3467,342.1106006,2022,2.534166531
51,0.1948,192.2213585,2022,2.283801642
52,0.2495,246.1972739,2022,2.39128324
53,0.269,265.439145,2022,2.42396497
54,0.0426,42.03608764,2022,1.623622289
55,0.3209,316.652125,2022,2.500582407
56,0.4008,395.4944584,2022,2.597140403
57,1.184,1168.326943,2022,3.067564392
58,0.8963,884.4353369,2022,2.946666086
59,0.2677,264.1563536,2022,2.421861061
60,0.5254,518.4450809,2022,2.714702758
61,0.3745,369.5426015,2022,2.567664512
62,0.2831,279.3524979,2022,2.446152559
63,0.1653,163.1118612,2022,2.212485543
64,0.1892,186.6954878,2022,2.271133822
65,0.3184,314.1852184,2022,2.497185749
66,0.3904,385.2321271,2022,2.585722499
67,0.4966,490.0263174,2022,2.690219405
68,0.2521,248.7628567,2022,2.395785535
69,0.3067,302.6400958,2022,2.480926466
70,0.238,234.8495037,2022,2.370789647
71,0.2947,290.7989443,2022,2.463592826
72,0.4954,488.8422023,2022,2.689168692
73,0.3144,310.2381679,2022,2.491695227
74,0.1678,165.5787678,2022,2.219004646
75,0.2755,271.853102,2022,2.434334293
76,0.3759,370.9240691,2022,2.569285015
77,0.9785,965.5472244,2022,2.98477352
78,0.2339,230.803777,2022,2.363242912
79,0.3748,369.8386302,2022,2.568012272
80,0.4276,421.9396966,2022,2.625250386
81,0.4203,414.7363295,2022,2.61777208
82,0.3157,311.5209594,2022,2.493487272
83,0.14,138.1467669,2022,2.140340725
84,0.2189,216.0023377,2022,2.334458451
85,0.7545,744.5123973,2022,2.871871934
86,0.9999,986.6639444,2022,2.994169258
87,0.6982,688.9576618,2022,2.838192534
88,0.6679,659.0587544,2022,2.818924133
89,0.5367,529.5954985,2022,2.723944285
90,0.2111,208.3055892,2022,2.318700923
91,0.6185,610.3126809,2022,2.785552394
92,2.2127,2183.409651,2022,3.339135226
93,0.2159,213.0420498,2022,2.328465332
94,0.1693,167.0589117,2022,2.222869648
95,0.566,558.5076433,2022,2.747029121
96,0.4494,443.4511217,2022,2.646845758
97,1.0423,1028.50268,2022,3.012205427
98,0.882,870.3246315,2022,2.939681275
99,0.3495,344.8735359,2022,2.53765987
100,0.2569,253.4993173,2022,2.403976794
101,0.2436,240.3753744,2022,2.380889974
102,0.3579,353.1623419,2022,2.547974388
103,0.3159,311.7183119,2022,2.493762316
104,0.0851,83.97349902,2022,1.92414225
105,0.7498,739.874613,2022,2.869158126
106,0.9976,984.3943904,2022,2.99316913
107,0.6824,673.3668124,2022,2.828251708
108,0.5678,560.283816,2022,2.748408078
109,0.1244,122.75327,2022,2.08903307
110,0.1399,138.0480906,2022,2.140030404
111,0.2663,262.7748859,2022,2.419583856
112,0.2794,275.7014762,2022,2.440439092
113,0.0729,71.93499505,2022,1.856940218
114,0.5222,515.2874405,2022,2.712049557
115,0.2071,204.3585387,2022,2.310392789
116,0.3913,386.1202135,2022,2.586722538
117,0.8167,805.8890323,2022,2.906275245
118,0.1485,146.5342492,2022,2.165939143
119,0.2615,258.0384253,2022,2.411684383
120,0.4632,457.0684459,2022,2.65998124
121,0.3179,313.6918371,2022,2.496503218
122,0.1494,147.4223355,2022,2.168563287
123,0.6853,676.228424,2022,2.830093422
124,0.2053,202.582366,2022,2.306601639
125,0.1245,122.8519463,2022,2.089382041
126,1.0436,1029.785471,2022,3.01274676
127,0.0323,31.87243265,2022,1.503415212
128,0.7984,787.8312764,2022,2.896433218
129,0.0944,93.15039139,2022,1.969184684
130,0.3762,371.2200979,2022,2.569631481
131,0.0613,60.48854865,2022,1.781673164
132,0.6274,619.0948682,2022,2.791757204
133,0.2773,273.6292747,2022,2.437162559
134,0.7511,741.1574044,2022,2.869910452
135,0.0949,93.6437727,2022,1.971478902
136,0.1248,123.1479751,2022,2.090427275
137,0.3082,304.1202397,2022,2.483045324
138,0.1918,189.2610706,2022,2.277061293
139,0.076,74.99395917,2022,1.875026282
140,0.4465,440.5895101,2022,2.644034153
141,0.5362,529.1021172,2022,2.723539499
142,0.3013,297.3115776,2022,2.473211821
143,0.3435,338.9529602,2022,2.530139431
144,0.389,383.8506595,2022,2.584162291
145,0.0961,94.82788785,2022,1.976936077
146,0.1756,173.2755162,2022,2.238737201
147,0.8115,800.7578667,2022,2.903501214
148,1.9799,1953.691313,2022,3.290855945
149,0.629,620.6736884,2022,2.792863335
150,0.8493,838.0574938,2022,2.923273814
151,0.58,572.32232,2022,2.757640683
152,0.4906,484.1057417,2022,2.684940234
153,0.4065,401.1190053,2022,2.60327324
154,0.2125,209.6870569,2022,2.321571624
155,0.3983,393.0275518,2022,2.594422996
156,0.4384,432.5967329,2022,2.636083235
157,0.5691,561.5666074,2022,2.749401275
158,0.0898,88.61128334,2022,1.947489026
159,0.6847,675.6363664,2022,2.829713018
160,0.3746,369.6412777,2022,2.567780463
161,0.1154,113.8724064,2022,2.056418499
162,0.0862,85.0589379,2022,1.929719956
163,0.158,155.9084941,2022,2.192869777
164,0.1632,161.0396597,2022,2.206932844
165,1.5716,1550.796135,2022,3.19055471
166,0.3566,351.8795505,2022,2.546394029
167,0.0751,74.10587281,2022,1.869852627
168,0.7773,767.0105851,2022,2.884801357
169,0.201,198.3392868,2022,2.297408747
170,0.542,534.8253404,2022,2.728211976
171,0.2936,289.7135054,2022,2.461968741
172,0.1354,133.6076588,2022,2.125831354
173,0.3885,383.3572781,2022,2.583603713
174,0.1824,179.985502,2022,2.255237524
175,0.4475,441.5762728,2022,2.645005729
176,0.1536,151.5667385,2022,2.180603905
177,0.2504,247.0853602,2022,2.392847014
178,0.4953,488.743526,2022,2.689081018
179,0.3376,333.1310607,2022,2.522615128
180,1.295,1277.857594,2022,3.106482458
181,0.1416,139.7255871,2022,2.145275943
182,0.2835,279.747203,2022,2.446765753
183,0.3163,312.1130169,2022,2.494311882
184,0.4172,411.6773654,2022,2.614556989
185,0.4527,446.7074384,2022,2.650023184
186,1.576,1555.13789,2022,3.191768903
187,0.2599,256.4596051,2022,2.409018969
188,0.3977,392.4354943,2022,2.593768281
189,0.6829,673.8601937,2022,2.828569802
190,1.6469,1625.09936,2022,3.210879919
191,0.6407,632.2188111,2022,2.800867414
192,0.1893,186.7941641,2022,2.271363304
193,0.0778,76.77013189,2022,1.885192287
194,0.1933,190.7412146,2022,2.280444544
195,0.2745,270.8663394,2022,2.432755039
196,0.3141,309.9421392,2022,2.491280626
197,0.3894,384.2453645,2022,2.584608637
198,1.0069,993.5712828,2022,2.997199031
199,0.1441,142.1924936,2022,2.152876671
200,0.3918,386.6135948,2022,2.587277121
201,0.2749,271.2610444,2022,2.43338743
202,0.3022,298.199664,2022,2.47450715
203,0.3312,326.81578,2022,2.514303018
204,0.0611,60.29119612,2022,1.7802539
205,0.1846,182.1563798,2022,2.260444386
206,0.3875,382.3705155,2022,2.582484397
207,0.6077,599.6556446,2022,2.777901926
208,0.1971,194.4909125,2022,2.288899314
209,0.8391,827.992515,2022,2.918026411
210,0.1641,161.9277461,2022,2.209321271
211,0.6435,634.9817464,2022,2.802761241
212,0.2848,281.0299944,2022,2.448752675
213,0.6983,689.056338,2022,2.838254732
214,0.159,156.8952567,2022,2.195609814
215,0.0848,83.67747023,2022,1.922608542
216,0.4633,457.1671222,2022,2.66007499
217,0.2244,221.4295321,2022,2.345235542
218,1.0158,1002.35347,2022,3.001020898
219,0.3468,342.2092769,2022,2.534291779
220,0.3096,305.5017074,2022,2.485013642
221,0.8547,843.3860119,2022,2.926026394
222,0.4059,400.5269477,2022,2.602631741
223,0.1864,183.9325525,2022,2.264658598
224,0.0748,73.80984403,2022,1.868114288
225,0.2805,276.7869151,2022,2.442145555
226,0.7463,736.4209438,2022,2.867126131
227,0.8198,808.9479964,2022,2.907920604
228,0.1577,155.6124653,2022,2.192044383
229,1.7259,1703.053607,2022,3.231228318
230,0.101,99.66302469,2022,1.998534064
231,0.1095,108.050507,2022,2.033626809
232,0.1983,195.6750277,2022,2.291535404
233,0.1281,126.4042917,2022,2.101761819
234,0.3274,323.066082,2022,2.509291365
235,0.216,213.1407261,2022,2.328666441
236,0.5611,553.6725065,2022,2.743252958
237,0.2021,199.4247256,2022,2.299779003
238,0.7461,736.2235913,2022,2.86700973
239,0.1033,101.9325787,2022,2.008313011
240,0.2403,237.1190578,2022,2.374966461